epoch,train_suicide_mse,val_suicide_mse
1,46.15733936233738,43.16889703610523
2,41.44769172994499,38.08747958598164
3,36.057763700132014,31.863704702948446
4,29.208296017769054,24.283995547537078
5,21.168903204110954,15.568902484441209
6,12.40255089023514,6.991891289834922
7,4.748507500374079,1.1555446258372506
8,0.861676224955806,0.16156800587972006
9,1.1847747340161576,1.0396789507677326
10,1.5240755512503816,0.36943067130395923
11,0.7004387894926587,0.004893115600623653
12,0.5421935017631944,0.12893618028716178
13,0.6145704799567872,0.0874301727208714
14,0.5534235215254998,0.0057891773975501624
15,0.4296240077229307,0.010610866344581216
16,0.42601063023944863,0.005241066049047782
17,0.3875743668643158,0.005641185462811572
18,0.3521359345936707,0.01448908801806175
19,0.3156621014205819,0.006647813623234377
20,0.37133059720707756,0.0024815932505548336
21,0.32922034216062973,0.0030382768919238936
22,0.31103003245812877,0.0050827435686089896
23,0.3444222983641502,0.014092392167129085
24,0.28225620719272526,0.005479229793036725
25,0.2772543274099671,0.0036877714476342928
26,0.27478419401367166,0.0045174057200803594
27,0.23569099159322232,0.008002265024993379
28,0.24929453063214946,0.00801721653022335
29,0.2361016268404121,0.004642349852006988
30,0.25699507324104637,0.00287512618269624
31,0.20759840861514764,0.004099368628135509
32,0.20298720764638353,0.004685349551971349
33,0.2590030738685885,0.003792188766985963
34,0.22009895703731439,0.002704311393748569
35,0.24745810193213982,0.0033978275996817036
36,0.21671040279742998,0.00919020984132411
37,0.32473971998250045,0.0027930227208272213
38,0.21011958294614427,0.0027706013560968605
39,0.21426859633875028,0.008660409073371672
40,0.23416321089974157,0.002961604019342843
41,0.22281947761689155,0.0024010713322687957
42,0.25412769908578986,0.0038134363074760654
43,0.21234095584802817,0.003930268482973347
44,0.18561841343712604,0.0027353596047493024
45,0.23193560646809744,0.0028746902605908064
46,0.2395623052052283,0.003364544298689244
47,0.18809368162073642,0.008389103042203827
48,0.20079339794453732,0.004169146304076674
49,0.24970763565128684,0.004955113439236657
50,0.19869225597449516,0.002575110749336286
