epoch,train_emotion_loss,val_emotion_loss
1,0.030177644700703457,0.02137223844768974
2,0.028155143518648257,0.01799014059689927
3,0.02413936518663355,0.012799172296509736
4,0.01767573049265435,0.008195518927075138
5,0.012512200833046199,0.009008098777783457
6,0.011137581042987838,0.008026466804877513
7,0.00906912503535846,0.0050939485578045335
8,0.007448433006866875,0.004330136314676391
9,0.006468322040497238,0.003934619983126762
10,0.005808676132651051,0.003738267461658787
11,0.005305456121629927,0.004083624882439393
12,0.004991533660576639,0.003822790453536699
13,0.004803421964173728,0.0036721887576030726
14,0.004754282293995137,0.0038143812217039325
15,0.004413349491589174,0.003575856734914337
16,0.004481825751366566,0.0035098559054740743
17,0.004575865777034281,0.0035907278622705806
18,0.00408207156504385,0.003375827372968618
19,0.0042571007921506365,0.0034374002726369744
20,0.004214735793552104,0.003433133545857828
21,0.0040520347092311264,0.0034053681719532543
22,0.004090570705409488,0.003374915412169392
23,0.00402447605270765,0.003331779708854307
24,0.0037159096068859186,0.0033024163373435536
25,0.004025960906257487,0.003263622129041344
26,0.003965327970582748,0.0031782187446478313
27,0.003755075268001638,0.0032018941760031602
28,0.003881267224839143,0.0031512085602245173
29,0.004040090237847633,0.0032298422029168254
30,0.003907102586182785,0.0030939483352131762
31,0.0038870404695991183,0.0031526936560153625
32,0.0038777862919595336,0.0031292184557250077
33,0.003575060610126099,0.003061692797352618
34,0.00380020928794672,0.0031046753592715508
35,0.0038015781598300952,0.0030786556482451867
36,0.0035697164118788775,0.0030530156892603316
37,0.003718910921906304,0.0030139778328975293
38,0.0037019060628801755,0.003067179494879424
39,0.0037609062414945362,0.0029733108204005464
40,0.0035403651275547313,0.003121490923735171
41,0.0036219229783724855,0.003104059922766719
42,0.0035782437658791783,0.003021743017022556
43,0.003416786869812725,0.0030283821907189103
44,0.003394567545641352,0.0030115172990445196
45,0.0035027545476146575,0.0029987786471643773
46,0.003462549649905997,0.003020717739390662
47,0.003371685491927881,0.0030138821566035433
48,0.00329724733752233,0.0029259053641656615
49,0.0034968913360326377,0.002831803422978958
50,0.0035052431692260497,0.002871829114649129
